 ,employment_rate_any_industry,employment_rate_ed_any_ind,employment_rate_noed_any_ind,employment_rate_1,employment_rate_1_ed,employment_rate_1_noed,employment_rate_2,employment_rate_2_ed,employment_rate_2_noed,employment_rate_3,employment_rate_3_ed,employment_rate_3_noed,employment_rate_4,employment_rate_4_ed,employment_rate_4_noed,employment_rate_5,employment_rate_5_ed,employment_rate_5_noed,employment_rate_6,employment_rate_6_ed,employment_rate_6_noed,share_employed_industy_1,share_employed_industy_1_ed,share_employed_industy_1_noed,share_employed_industy_2,share_employed_industy_2_ed,share_employed_industy_2_noed,share_employed_industy_3,share_employed_industy_3_ed,share_employed_industy_3_noed,share_employed_industy_4,share_employed_industy_4_ed,share_employed_industy_4_noed,share_employed_industy_5,share_employed_industy_5_ed,share_employed_industy_5_noed,share_employed_industy_6,share_employed_industy_6_ed,share_employed_industy_6_noed,hrlwage_ed_any_industry,hrlwage_ed_industry_1,hrlwage_ed_industry_2,hrlwage_ed_industry_3,hrlwage_ed_industry_4,hrlwage_ed_industry_5,hrlwage_ed_industry_6,hrlwage_noed_any_industry,hrlwage_noed_industry_1,hrlwage_noed_industry_2,hrlwage_noed_industry_3,hrlwage_noed_industry_4,hrlwage_noed_industry_5,hrlwage_noed_industry_6,uhat_education_unskilled,uhat_education_skilled,employment_ratio,employment_ratio_industry_1,employment_ratio_industry_2,employment_ratio_industry_3,employment_ratio_industry_4,employment_ratio_industry_5,employment_ratio_industry_6
1979M11,0.952584803,0.97051841,0.940186083,0.946123123,0.968108892,0.93762064,0.972098768,0.977113664,0.9638533,0.943873584,0.969111323,0.932768285,0.938021779,0.960895002,0.925613701,0.94535929,0.954527199,0.93039906,0.973195553,0.98464793,0.964380503,0.261401474,0.179111987,0.320129544,0.209071621,0.313774437,0.134347707,0.101065218,0.076137364,0.11885564,0.24368979,0.210808083,0.26715669,0.055815276,0.083904877,0.035768393,0.128956616,0.136263251,0.123742029,7.27728796,8.839543343,6.758421898,7.81895113,5.83381319,7.950517178,7.816510677,5.325883389,6.075446129,4.501836777,6.358599663,4.443098545,5.426519394,5.246767044,-0.509373844,-0.697145164,0.713676333,0.399300814,1.666819572,0.457171708,0.563147962,1.674129605,0.78589195
1979M12,0.955156386,0.973246396,0.942354798,0.946663439,0.965820968,0.938651264,0.970639348,0.98309499,0.948715746,0.957659185,0.966989875,0.953763247,0.942778707,0.960169494,0.934139431,0.958480358,0.982782602,0.924130917,0.968850553,0.976795673,0.961812198,0.256828576,0.182995141,0.310790211,0.2136233,0.326761186,0.130935788,0.098449454,0.069345489,0.119720273,0.250305593,0.200372577,0.286799461,0.059056014,0.083985917,0.040835839,0.121737055,0.136539698,0.110918455,7.29365921,8.762513161,6.741240978,8.860212326,5.864747047,8.159064293,7.479184151,5.272449017,6.079156399,4.48793602,6.498826504,4.456180096,5.074099541,4.981129646,-0.518670142,-0.695633352,0.73085624,0.430332541,1.823912859,0.423333347,0.510613084,1.50313127,0.899677932
1980M1,0.940349042,0.961605132,0.925422132,0.92168206,0.942768872,0.913060486,0.9644171,0.972046375,0.951604426,0.928885341,0.950668275,0.919098616,0.92827493,0.956134379,0.91437608,0.953323901,0.96355933,0.937641799,0.966138721,0.975232124,0.95855993,0.254137278,0.178824052,0.309093207,0.213371396,0.31952405,0.135912016,0.092487581,0.069557577,0.109219566,0.251044124,0.20401223,0.285363197,0.062300384,0.090316385,0.041857161,0.126659229,0.137765706,0.11855486,7.425686359,8.864010811,6.813756466,8.203757286,6.071758747,8.507549286,7.87367487,5.429697037,6.189688683,4.443840981,6.784845829,4.636832714,5.447314739,5.380414963,-0.499415666,-0.678889453,0.729698002,0.422162473,1.715492725,0.464715481,0.52167666,1.57449007,0.84793961
1980M2,0.943481922,0.964863956,0.928660512,0.927656889,0.963692844,0.913241267,0.97012502,0.98148042,0.950229585,0.93820405,0.941371322,0.9370507,0.930785775,0.938442349,0.926806867,0.952804029,0.972662151,0.920769632,0.957663894,0.972853899,0.945824862,0.261277854,0.185242638,0.316037804,0.210460708,0.323776573,0.128851518,0.094579592,0.060507789,0.119117841,0.242529079,0.199724376,0.273356706,0.062367741,0.093877025,0.039675005,0.128785029,0.136871606,0.122961134,7.572839737,9.026123047,6.910253048,9.534731865,6.167373657,8.091794968,7.945594788,5.450751781,6.188886642,4.69544363,6.38517952,4.651289463,5.075323105,5.380071163,-0.488776952,-0.66841656,0.720192075,0.422133923,1.809690118,0.365832955,0.526198626,1.704082727,0.801666737
1980M3,0.946944714,0.967082024,0.932533085,0.929481864,0.953475893,0.919831157,0.970020413,0.979722023,0.952524364,0.949199259,0.969050169,0.940708756,0.9347772,0.957678914,0.923410833,0.958998144,0.965953529,0.948281348,0.959860384,0.967000067,0.953927577,0.253718793,0.175244719,0.311960936,0.223906085,0.341490537,0.136636898,0.093489788,0.067119099,0.113061666,0.245350882,0.195710465,0.282193154,0.065053217,0.093274929,0.044107549,0.118481234,0.127160266,0.11203979,7.526320934,9.107206345,7.086301804,8.175920486,5.867286682,8.405414581,7.954916477,5.494713306,6.31075716,4.602147102,6.837868214,4.568230152,5.186253548,5.530687809,-0.481650054,-0.66978538,0.74218303,0.416922897,1.854905009,0.440597177,0.514728904,1.569506168,0.842345297
1980M4,0.944360852,0.969014049,0.927505612,0.917958021,0.964045227,0.90026027,0.970311105,0.981096804,0.951031089,0.947075784,0.957393527,0.943270266,0.940340221,0.959641516,0.930882275,0.954319656,0.968646109,0.933232546,0.956512213,0.965242326,0.949568629,0.254293084,0.177835479,0.308906227,0.217518434,0.338486642,0.131111667,0.096827902,0.063298732,0.120777555,0.242957428,0.195695341,0.276716411,0.059697077,0.086592503,0.040485863,0.128706083,0.138091296,0.122002289,7.523778915,9.38549614,6.921704292,8.272422791,6.085887909,8.309394836,7.622739792,5.519907951,6.40842247,4.541668415,6.716543198,4.573082447,5.135822296,5.522474766,-0.481822401,-0.666714311,0.714293063,0.411214292,1.844066858,0.374356389,0.505151927,1.527753711,0.808490217
1980M5,0.93999356,0.960898817,0.92573297,0.908987701,0.944406092,0.894451261,0.966234386,0.977071404,0.949082851,0.954696476,0.973834634,0.947213888,0.936285615,0.944758892,0.931889415,0.930833638,0.955314279,0.891838968,0.961828709,0.969551504,0.956087887,0.249704808,0.1821132,0.297563851,0.209406048,0.313031375,0.136032894,0.101832405,0.070431918,0.124065891,0.24969776,0.207625315,0.279487669,0.062925085,0.09570425,0.039715409,0.126433894,0.131093964,0.123134278,7.629296303,9.339393616,6.960707664,8.349092484,6.171425819,8.1450634,8.303524017,5.489230156,6.399137497,4.660291672,6.378584385,4.614202976,5.370471478,5.389931202,-0.481762737,-0.658382773,0.708061874,0.433343649,1.629352689,0.401965052,0.526003778,1.706252933,0.753832579
1980M6,0.933745384,0.952777505,0.920617402,0.910978377,0.945841372,0.895600319,0.954308569,0.962602019,0.941241026,0.942177176,0.95391202,0.937363386,0.923259974,0.937078834,0.916356742,0.943484902,0.956604898,0.921277285,0.957527578,0.961404562,0.95469743,0.254739434,0.19435887,0.297843874,0.208010763,0.308156282,0.13651897,0.103215516,0.072979987,0.124800034,0.245202079,0.199043348,0.278153837,0.065089718,0.099598676,0.040454496,0.123742491,0.125862837,0.122228816,7.706192493,9.230126381,7.203044891,8.122976303,6.389922619,8.31953907,7.820441246,5.500171661,6.408757687,4.646879196,6.184244156,4.62823534,5.554617882,5.55630064,-0.479332954,-0.646982491,0.713879228,0.465843946,1.611397862,0.417458981,0.510842919,1.757565498,0.735103786
1980M7,0.932548404,0.955979228,0.916445494,0.895661116,0.941309869,0.877341449,0.956232131,0.968158543,0.937536657,0.940881133,0.942890704,0.940045118,0.932097733,0.946286082,0.924502373,0.934446394,0.953496337,0.902494371,0.965763688,0.973578036,0.959572792,0.252445042,0.18196784,0.302970111,0.200595602,0.296958238,0.131513283,0.103164166,0.072742134,0.124973707,0.249313429,0.211353585,0.276526809,0.063450903,0.097140588,0.039298788,0.131030843,0.139837638,0.124717273,7.687624931,9.349840164,7.257352829,7.764203548,6.209999561,8.52162838,7.834709644,5.651803017,6.460895538,4.892333508,6.456297874,4.797837257,5.590786457,5.632339001,-0.460126013,-0.646807551,0.716899455,0.430579215,1.618765712,0.417278111,0.547936916,1.772065639,0.803814232
1980M8,0.933413148,0.956243694,0.918138564,0.904893696,0.944903731,0.887932777,0.947542012,0.953190804,0.939096391,0.943976283,0.96271044,0.936670482,0.928255618,0.95548743,0.91439569,0.951674938,0.966632664,0.929241776,0.962803543,0.968872905,0.957860887,0.247550592,0.187399745,0.289464206,0.194522664,0.285534173,0.131105095,0.110533312,0.077015184,0.133889019,0.257681668,0.217854455,0.28543362,0.061285179,0.090943739,0.040618848,0.128426567,0.141252711,0.119489208,7.770044327,9.280233383,7.398844242,9.001169205,6.323849201,7.722930431,7.96137476,5.705064297,6.514020443,4.745458603,6.900087833,4.804349422,6.225570202,5.60997057,-0.457218796,-0.637540221,0.696808338,0.451115221,1.517580748,0.400815696,0.531832218,1.560121894,0.823723555
1980M9,0.937452495,0.96320647,0.920281351,0.915177822,0.953796744,0.900657415,0.958911836,0.972907841,0.936391056,0.945952654,0.952072978,0.943332791,0.926952362,0.95144707,0.915189922,0.946037054,0.976040721,0.899864852,0.959677041,0.968325615,0.952717423,0.251159757,0.174022511,0.30498898,0.20357725,0.309924006,0.12936458,0.102064699,0.074916624,0.121009625,0.252450436,0.204525784,0.285894006,0.065156288,0.099133767,0.04144555,0.125591561,0.137477323,0.117297232,7.894152641,9.603671074,7.439186573,8.427952766,6.454728127,8.361046791,8.088609695,5.719338417,6.546032906,4.87268734,6.905423164,4.808680534,5.48952961,5.690559864,-0.450266778,-0.627597153,0.697836757,0.398176044,1.671836019,0.432028234,0.499225587,1.669158459,0.81789428
1980M10,0.938116133,0.959440291,0.922974348,0.918586135,0.945312142,0.908030212,0.956394494,0.973633289,0.925857127,0.947660148,0.959928334,0.942508578,0.929264247,0.938100696,0.924561203,0.942422152,0.963382781,0.910693049,0.955408216,0.973458469,0.940443993,0.252984613,0.173578873,0.311596453,0.209944978,0.321686745,0.127464935,0.104260325,0.073545292,0.12693204,0.240410253,0.198514506,0.271334797,0.064743154,0.093848661,0.043259487,0.127656668,0.138825923,0.11941231,7.833468437,9.550201416,7.269547462,8.593238831,6.254223347,8.627277374,8.211378098,5.742256165,6.500031948,4.969092369,6.601216793,4.849862576,6.152754784,5.64675045,-0.455463678,-0.628983259,0.738130808,0.411185414,1.862840891,0.427678049,0.540032744,1.601326942,0.858133376
1980M11,0.937542021,0.960220218,0.92095238,0.909249067,0.937702775,0.89735502,0.962903619,0.971883893,0.947099447,0.935150445,0.942942202,0.931969285,0.928267419,0.953550577,0.914562404,0.946484268,0.962872148,0.917163551,0.968815625,0.979818821,0.959701955,0.246423066,0.173138842,0.302317768,0.218884021,0.325580686,0.137505248,0.097891904,0.066135757,0.122112677,0.248509511,0.207386479,0.279874533,0.063157275,0.095252447,0.038677912,0.12513423,0.132505774,0.119511865,8.032078743,9.743067741,7.403655052,9.206494331,6.339042187,9.116724968,8.592080116,5.738628387,6.64097929,4.899095058,6.777358055,4.81491518,5.553711891,5.657211304,-0.449861109,-0.616505504,0.762711465,0.436808527,1.805924773,0.413081616,0.565167665,1.87833643,0.845637202
1980M12,0.941255987,0.96656549,0.923131108,0.918274403,0.950691462,0.903721392,0.96453619,0.981739998,0.93503207,0.94492805,0.950771332,0.942590773,0.933411837,0.960370839,0.919950366,0.94517827,0.973372519,0.902370691,0.95903933,0.965026379,0.954107404,0.245006174,0.183405012,0.291196197,0.217704043,0.326641917,0.136019766,0.103298083,0.06929978,0.128790826,0.246895969,0.197427124,0.283988893,0.063826121,0.092480354,0.042340476,0.123269632,0.130745783,0.117663823,8.001331329,9.742814064,7.630063057,8.397165298,6.294205189,8.778208733,8.151329994,5.718828678,6.622720242,4.873169899,6.968337059,4.757920742,5.414904594,5.659304619,-0.452393085,-0.615537167,0.749824226,0.472264111,1.800650239,0.40346548,0.521272659,1.63777101,0.833190262
1981M1,0.930769861,0.955221057,0.913183391,0.906489432,0.944717109,0.890738964,0.965439975,0.975685954,0.947740614,0.909244835,0.932945788,0.898977816,0.916729867,0.929193735,0.910590708,0.933108568,0.950805843,0.902242601,0.964088738,0.972717464,0.956792593,0.243704498,0.17261444,0.297189623,0.220834821,0.329229563,0.139283255,0.093944266,0.067860916,0.113568269,0.247110337,0.192521334,0.288180798,0.065917641,0.099433504,0.040701739,0.128488421,0.138340265,0.121076323,8.06508255,9.753178596,7.573688984,8.813264847,6.391196728,8.674107552,8.543710709,5.936989307,6.738007069,5.037436962,7.298792839,5.058888435,6.088643551,5.928662777,-0.422605604,-0.605153859,0.752357423,0.436986148,1.778378248,0.449559242,0.502618015,1.837993503,0.859633982
1981M2,0.933035493,0.960291743,0.912856638,0.908952653,0.946617186,0.893120527,0.959629536,0.974092126,0.934279621,0.917173505,0.950455904,0.902517617,0.920600414,0.945321381,0.907876372,0.951630235,0.968396127,0.920968235,0.963325083,0.965887606,0.961062014,0.251546234,0.177076668,0.309543937,0.218829587,0.323040307,0.137669116,0.093902715,0.067949422,0.114115417,0.23699823,0.18887873,0.274474233,0.06912265,0.10386505,0.042064879,0.129600599,0.13918981,0.122132413,8.372092247,9.861542702,7.514812946,9.262843132,6.634806633,11.2481842,8.505308151,5.913993359,6.764956951,5.005555153,6.938999653,5.031605244,5.729178905,5.932104588,-0.417123288,-0.597692132,0.778811038,0.445524037,1.827478528,0.463738918,0.535936773,1.923011541,0.887582183
1981M3,0.937331021,0.962859035,0.91909188,0.911973834,0.945254385,0.897849798,0.967494965,0.977246106,0.951324642,0.923577249,0.94643718,0.914133549,0.931936145,0.95644331,0.919591188,0.933625221,0.954650223,0.902673721,0.959566951,0.97464478,0.94637835,0.245060071,0.176787674,0.296161771,0.223412573,0.328848869,0.144493818,0.093863167,0.065687016,0.114952937,0.248576283,0.199633777,0.285209596,0.062505051,0.088907063,0.042743217,0.126582846,0.140135586,0.116438657,8.329283714,10.1746521,7.779959202,9.606343269,6.634672165,8.906064034,8.58111763,6.001653194,6.874843597,5.055390358,7.645293236,5.061641693,6.100880146,5.804031372,-0.409406602,-0.588102996,0.748497188,0.446799994,1.70348084,0.427710205,0.523914039,1.55689466,0.90082705
1981M4,0.943037212,0.962619007,0.929084837,0.924179018,0.950734258,0.913518906,0.968797624,0.979230225,0.950527966,0.946460783,0.958151698,0.941528678,0.93132925,0.94139725,0.926086783,0.930063367,0.954259396,0.892261505,0.964208126,0.978356719,0.952819526,0.244691879,0.169775501,0.299997985,0.21734187,0.329248011,0.134728536,0.101371869,0.071694396,0.123280905,0.245607883,0.200158283,0.2791605,0.062903881,0.092657469,0.040938657,0.128082618,0.136466339,0.121893436,8.216108322,10.13962173,7.560702801,8.86878109,6.699418068,9.390004158,8.483778954,5.9772892,7.043772697,4.939321518,7.082318306,4.911421776,5.60931778,5.965295792,-0.414366066,-0.589599907,0.738237739,0.417785108,1.804096699,0.429324508,0.529317021,1.670871615,0.826497376
1981M5,0.940921605,0.962306738,0.926318049,0.925163686,0.947701812,0.916497052,0.958787858,0.968300462,0.94374752,0.943766534,0.960295498,0.937549472,0.929033816,0.958954394,0.913432658,0.941863716,0.961155295,0.910636663,0.963665843,0.973668098,0.955606639,0.245758802,0.168475643,0.300584704,0.207613647,0.309488356,0.135342091,0.10052868,0.067368813,0.12405283,0.248518705,0.211841404,0.274538189,0.064998664,0.098795258,0.041022822,0.132581502,0.144030511,0.124459378,8.07300663,9.939764023,7.561957836,8.54600811,6.573989868,8.77293396,8.411370277,6.035915852,7.055924416,5.028148651,6.908713341,5.087547302,5.798827648,5.988600731,-0.406782985,-0.610347688,0.709416032,0.397622794,1.622230053,0.38525939,0.547405481,1.708486557,0.820971191
1981M6,0.936137199,0.957239628,0.921039641,0.923443735,0.960146368,0.907813728,0.948469758,0.960908115,0.928934038,0.929744422,0.944608569,0.923571885,0.927315176,0.944740951,0.91804719,0.941908777,0.962734938,0.901773632,0.962832034,0.967583418,0.958807468,0.250543386,0.182439044,0.301182956,0.209908813,0.30467841,0.139442056,0.099372871,0.069464557,0.121611454,0.253526092,0.210282847,0.285679966,0.063209191,0.09974017,0.036046274,0.123439647,0.133394971,0.116037279,8.382323265,10.2684021,7.847712517,9.344239235,6.610408306,9.17165184,8.653184891,5.981760502,6.990810394,5.172684193,7.104911327,4.969776154,5.943067074,5.773424149,-0.404719889,-0.586051047,0.743558586,0.450404346,1.62466228,0.424721211,0.547317326,2.057429314,0.854785442
1981M7,0.940086246,0.958032548,0.927727759,0.93062979,0.951984465,0.921677887,0.949224949,0.960303903,0.932415128,0.948388338,0.96357739,0.941533685,0.926074088,0.95441556,0.912384629,0.943374038,0.954371572,0.924550354,0.964089692,0.965804577,0.962639034,0.248827085,0.180910647,0.297124654,0.197476462,0.289749414,0.131858215,0.108100854,0.082179725,0.126534209,0.249268964,0.201330796,0.283359349,0.067042492,0.103013806,0.041462135,0.129284129,0.142815635,0.119661443,8.468927383,10.27210522,7.968850613,9.593688011,6.714458942,8.869165421,8.545002937,6.044691086,7.046041012,5.204462528,6.753939152,4.984662056,6.150413036,6.132113934,-0.400373936,-0.56670332,0.711132169,0.432987899,1.56266439,0.461856514,0.505269408,1.766827226,0.848734498
1981M8,0.937830985,0.958546221,0.923480749,0.928382576,0.959692359,0.915429413,0.944357634,0.959609568,0.919397175,0.944502056,0.959805012,0.938458622,0.925690353,0.94838798,0.91417253,0.945332825,0.960520148,0.921485066,0.961582243,0.96764642,0.956280172,0.250975609,0.181510955,0.300923765,0.194789708,0.293730229,0.123647116,0.108779639,0.074820198,0.133197978,0.249533191,0.20574449,0.281019181,0.06722042,0.099757902,0.043824542,0.128701419,0.144436225,0.117387399,8.34068203,10.12838364,8.036698341,8.580716133,6.685107231,8.841860771,8.363135338,6.083422184,7.052767277,5.309011936,7.22155714,5.042351246,5.930463314,5.780639172,-0.398711175,-0.575496793,0.71904403,0.433712393,1.708126903,0.40390268,0.526438594,1.636761546,0.884728789
1981M9,0.938313782,0.956547916,0.925471961,0.923740804,0.944596648,0.915427744,0.956285775,0.963003635,0.944708109,0.953584492,0.964987874,0.948866189,0.92281431,0.942637801,0.912416816,0.926533699,0.965327203,0.870268166,0.965664089,0.968195677,0.963596225,0.247901544,0.171497017,0.303518027,0.209570467,0.317018896,0.131356478,0.103280209,0.072609544,0.12560603,0.249200717,0.207892478,0.279269874,0.070150048,0.102690406,0.046463236,0.119897008,0.128291667,0.113786362,8.464252472,10.39258957,7.847925186,10.05478764,6.586799145,9.350227356,8.829030037,6.143559456,7.033457756,5.311723232,7.461323738,5.059578896,5.771337986,6.246833801,-0.389383286,-0.567131817,0.727921009,0.411297768,1.756782174,0.420791984,0.541874826,1.608809829,0.820715189
