"Variables ->","employment_ratio_adj","employment_ratio_industry_1_adj","employment_ratio_industry_2_adj","employment_ratio_industry_3_adj","employment_ratio_industry_4_adj","employment_ratio_industry_5_adj","employment_ratio_industry_6_adj","hrlwage_ed_industry_1","hrlwage_ed_industry_2","hrlwage_ed_industry_3","hrlwage_ed_industry_4","hrlwage_ed_industry_5","hrlwage_ed_industry_6","hrlwage_noed_industry_1","hrlwage_noed_industry_2","hrlwage_noed_industry_3","hrlwage_noed_industry_4","hrlwage_noed_industry_5","hrlwage_noed_industry_6","employment_rate_1_ed","employment_rate_2_ed","employment_rate_3_ed","employment_rate_4_ed","employment_rate_5_ed","employment_rate_6_ed","employment_rate_1_noed","employment_rate_2_noed","employment_rate_3_noed","employment_rate_4_noed","employment_rate_5_noed","employment_rate_6_noed","employment_rate_ed_any_ind","employment_rate_noed_any_ind","hrlwage_ed_any_industry","hrlwage_noed_any_industry","uhat_education_skilled","uhat_education_unskilled"
"1979M12",0.71490429,0.42060489,1.74799331,0.44320320,0.52092297,1.55334167,0.91732739,8.72267942,6.68906908,9.00243654,5.95879102,8.17811689,7.47699908,6.13798709,4.54162866,6.36927639,4.53753351,5.22828903,5.03838185,0.96517954,0.97475834,0.96703823,0.95254562,0.97269681,0.97627678,0.94263153,0.94800296,0.94875238,0.93136064,0.93483439,0.96034996,0.96762086,0.94134351,7.33146983,5.33976488,-0.69378069,-0.50860708
"1980M01",0.71265672,0.42348052,1.69871681,0.44318849,0.52102668,1.49749277,0.79522123,8.89620122,6.85874574,8.22115556,6.21086759,8.56123751,7.70825524,6.20483555,4.39816626,6.52301136,4.54775048,5.31981261,5.35298670,0.95167919,0.97009748,0.96806139,0.96641668,0.96677669,0.97500729,0.92176397,0.94885071,0.94485165,0.92662272,0.93776249,0.95866559,0.96609220,0.93423455,7.45958599,5.40545956,-0.68068205,-0.49909578
"1980M02",0.71289951,0.42701790,1.76315440,0.34738902,0.52568519,1.59550785,0.80801609,9.05875334,6.93618058,8.91002441,6.01776668,8.11624057,7.88494719,6.17714166,4.67805252,6.36326005,4.58411243,5.13659709,5.34317054,0.96234678,0.97609935,0.95439177,0.94492638,0.97006639,0.97824396,0.92105223,0.94930862,0.95598060,0.93775356,0.91589840,0.95250411,0.96498511,0.93594791,7.48742684,5.42567910,-0.67320854,-0.49567111
"1980M03",0.72581429,0.41165008,1.87710631,0.43056862,0.52845124,1.66112304,0.80038837,9.00075818,7.04970859,8.47153975,5.86083675,8.43097495,7.80280708,6.26753606,4.61266261,6.42521977,4.53454308,5.14958717,5.45569562,0.95522638,0.97403516,0.97399337,0.95551166,0.96888726,0.96706798,0.92281676,0.94489961,0.95364686,0.92494171,0.95637614,0.95729364,0.96560915,0.93496130,7.51071900,5.44048776,-0.66906412,-0.49003522
"1980M04",0.71518182,0.42523687,1.77280762,0.36151579,0.51588262,1.59542068,0.81299123,9.22993825,7.04378961,8.25011169,6.03113013,8.11171466,7.69863268,6.31326509,4.62271903,6.61902581,4.61939206,5.30889767,5.43302573,0.96211123,0.97242738,0.95733701,0.95365811,0.96431459,0.95829823,0.90196654,0.94393432,0.93705671,0.92674888,0.93333361,0.95011319,0.96392249,0.92633261,7.56228830,5.49827134,-0.66419684,-0.48396517
"1980M05",0.72554805,0.43188540,1.71215975,0.41414097,0.52458423,1.77235601,0.77161277,9.27765873,7.08889891,8.62134425,6.15247374,8.31962596,8.32418907,6.30677186,4.70357845,6.62346178,4.60609370,5.34876576,5.35992230,0.94395763,0.97521836,0.96560592,0.94213296,0.96258498,0.97405408,0.89023172,0.94084565,0.94047665,0.92351255,0.88770550,0.95380916,0.96033477,0.92077158,7.62766030,5.46226894,-0.65654707,-0.48451528
"1980M06",0.72580332,0.45558935,1.70507543,0.42284952,0.53010347,1.57060268,0.75537851,9.26320639,7.13740419,8.18985802,6.42535234,8.26190663,7.81318578,6.39614597,4.57198555,6.55496379,4.66962513,5.63859564,5.63659660,0.94555702,0.97247329,0.94966346,0.94696342,0.95906369,0.96350729,0.89414721,0.94679636,0.92163752,0.91382152,0.92054881,0.95632462,0.95855055,0.91979532,7.66247189,5.54521361,-0.64968638,-0.47705972
"1980M07",0.72426418,0.42870797,1.73403988,0.40876041,0.52580757,1.72482570,0.80862403,9.37138406,7.24376304,8.36020565,6.16086184,8.54123776,7.95202531,6.47030319,4.85487946,6.64357191,4.84462812,5.56653742,5.55727456,0.94230204,0.97763151,0.93562620,0.94472065,0.95839895,0.97227291,0.87522003,0.94267019,0.93343640,0.92473399,0.89561763,0.95489219,0.95853452,0.91670637,7.74656534,5.65310854,-0.64351539,-0.46320774
"1980M08",0.72806503,0.44768996,1.62174255,0.43019893,0.53002766,1.69331586,0.82129841,9.48418537,7.28702158,8.70164286,6.30538875,8.08496933,8.17489209,6.55062808,4.81104826,6.98737081,4.76439287,6.25760907,5.70129719,0.94034902,0.96930338,0.95840683,0.94839450,0.96442436,0.97398469,0.88731847,0.95492674,0.92889469,0.91485791,0.92027647,0.95701864,0.95914077,0.91644755,7.82702698,5.71451269,-0.63372153,-0.45652287
"1980M09",0.72643385,0.42405952,1.69534301,0.44761628,0.51333266,1.75294092,0.88809136,9.56580393,7.43149238,8.31722848,6.43234858,8.36206873,8.10129099,6.59991340,4.87227609,6.84466986,4.80466687,5.64071692,5.67090323,0.95317613,0.97420394,0.94898195,0.94938306,0.97075667,0.96977225,0.89798333,0.93951891,0.92817001,0.91504821,0.89882724,0.94864683,0.96218343,0.91554598,7.88477043,5.72608836,-0.62836372,-0.45103212
"1980M10",0.72304946,0.39735198,1.75286339,0.41781449,0.52599626,1.71619017,0.82429603,9.71313056,7.20151174,8.70985539,6.24866197,8.50791635,8.15118607,6.54992896,4.87928252,6.70623517,4.86564055,5.98485434,5.62682748,0.94569931,0.97292556,0.95686729,0.94138625,0.96378082,0.97111068,0.89776044,0.93304495,0.93327679,0.91670098,0.91246350,0.94479015,0.96001832,0.91894259,7.77792259,5.74546612,-0.63137582,-0.45158409
"1980M11",0.73631670,0.43540016,1.67895404,0.41796445,0.53991791,1.71738305,0.84276031,9.65700808,7.42974628,8.70983196,6.39635905,8.79117547,8.63105769,6.68184673,4.91701281,6.77377178,4.82828703,5.24993801,5.82262376,0.93539990,0.96739106,0.93855221,0.95262421,0.96480363,0.97326743,0.89498461,0.93684163,0.94767980,0.91444052,0.92339038,0.95603607,0.95724753,0.92034664,8.00781073,5.76263459,-0.61859854,-0.44278340
"1980M12",0.73461222,0.46281826,1.72420291,0.42226240,0.53134412,1.68056884,0.84740181,9.70081677,7.57174180,8.51135505,6.39271520,8.79439032,8.12437220,6.69234914,4.92768517,6.81897491,4.83082725,5.60179702,5.72425141,0.95034658,0.97389858,0.95153214,0.95260224,0.96391035,0.96414160,0.90792572,0.93351231,0.93818918,0.91728653,0.91151256,0.95341713,0.96112724,0.92256463,8.04265360,5.78844907,-0.61373546,-0.44288317
"1981M01",0.73612019,0.43780336,1.76756626,0.43379116,0.50011350,1.75444166,0.81064336,9.78625120,7.64958870,8.80701691,6.51699289,8.73214060,8.38419678,6.73959540,4.98641723,7.03617795,4.97874942,5.96507000,5.89850780,0.95293975,0.97320815,0.94932286,0.93863249,0.95465051,0.97287370,0.89811981,0.94628715,0.92451594,0.92419375,0.90302235,0.95691420,0.95955303,0.92228999,8.10861027,5.91005326,-0.60653458,-0.42281297
"1981M02",0.77179847,0.45268428,1.78554780,0.43865803,0.53766161,1.81582296,0.89796972,9.90375560,7.53574363,8.80799110,6.50761120,11.29628326,8.43203867,6.74607216,4.99497801,6.88672432,4.95227236,5.80388502,5.87605464,0.94576051,0.96894787,0.96376530,0.95106202,0.96649875,0.97080593,0.90154218,0.93294198,0.92231540,0.91735438,0.91717704,0.96681311,0.96078181,0.92015134,8.28906822,5.88414651,-0.60185630,-0.42322798
"1981M03",0.73014335,0.44106880,1.71279439,0.41555718,0.53430391,1.64562085,0.85269457,10.06424354,7.74424671,9.90073905,6.61404263,8.94002784,8.41767337,6.82406016,5.07096783,7.22075229,5.03734114,6.09943511,5.72916828,0.94742447,0.97175803,0.94956832,0.95529703,0.95702941,0.97415937,0.90046330,0.94483159,0.92650827,0.92240249,0.91042672,0.94972073,0.96134169,0.92201337,8.31501169,5.94425429,-0.58771506,-0.41746940
"1981M04",0.73855389,0.42847082,1.74836265,0.41683114,0.53651705,1.75583559,0.83525888,9.97727870,7.68873629,8.80251386,6.66136305,9.18613423,8.57385954,6.95219981,5.01160029,7.01034792,4.95823309,5.77158031,5.86363630,0.94820818,0.97053648,0.95647755,0.93661296,0.95032880,0.97105275,0.91506583,0.94395402,0.93503227,0.92355932,0.89187646,0.95370591,0.95779127,0.92804155,8.25924426,5.95245699,-0.58627278,-0.41711742
"1981M05",0.72657718,0.39705272,1.69638362,0.39515698,0.54405022,1.75863255,0.82916700,9.88691925,7.68331726,8.81543338,6.54419874,8.93422303,8.43908665,6.95978585,5.06141880,7.14932977,5.08804126,5.77701900,5.94521950,0.94711055,0.96743888,0.95452428,0.95684580,0.96848575,0.97868682,0.91183827,0.93635278,0.93066969,0.90456385,0.90782512,0.95335637,0.96201885,0.92091974,8.07626081,6.00879286,-0.60799041,-0.40912635
"1981M06",0.75612951,0.44272572,1.70745998,0.42921994,0.57008484,1.82996629,0.87751394,10.31633939,7.77142327,9.39090877,6.65560184,9.08906795,8.63887846,6.97767160,5.10300515,7.52733170,4.99718476,6.00905600,5.87131627,0.96043528,0.97068480,0.94010516,0.95388161,0.96501432,0.96920131,0.90577800,0.93451499,0.90682430,0.91273819,0.90049728,0.96143827,0.96258779,0.91970702,8.32037431,6.02774114,-0.58968136,-0.40273930
"1981M07",0.71972937,0.43151786,1.66054843,0.45707583,0.48709723,1.73790902,0.84974168,10.26431017,7.95437698,10.26307440,6.65636187,8.89716243,8.64553741,7.05586729,5.16109314,6.95079391,5.02465375,6.08141404,6.04744965,0.95310690,0.96908919,0.95571613,0.95320377,0.95874216,0.96511480,0.91971577,0.93670267,0.93347362,0.91310555,0.91815834,0.95780819,0.96047870,0.92765051,8.52921236,6.04725518,-0.56409511,-0.40340398
"1981M08",0.75159114,0.43222943,1.81731293,0.42927739,0.52754635,1.73430268,0.89349095,10.35149497,7.90383652,8.31950068,6.65946632,9.21966067,8.57652433,7.09790935,5.36716579,7.33578755,5.00474784,5.94624569,5.87400803,0.95539670,0.97520320,0.95902479,0.94124979,0.95824967,0.97310685,0.91419341,0.93495847,0.92989475,0.91398549,0.91280982,0.95513920,0.96138268,0.92110472,8.38839789,6.09572048,-0.57293142,-0.39758206
"1981M09",0.75710191,0.43679850,1.78849743,0.43675543,0.55756577,1.70749785,0.88298187,10.34108833,7.84366138,9.94848378,6.55654842,9.33218660,8.85309757,7.08520031,5.30422356,7.39183121,5.06922023,5.90367782,6.24702190,0.94399404,0.96365049,0.96135322,0.94153160,0.96031000,0.96913477,0.91288164,0.94675843,0.93405656,0.91292231,0.86860692,0.95932877,0.95558721,0.92041809,8.45554545,6.15517571,-0.56744870,-0.38993078
"1981M10",0.79058477,0.46443803,1.79376972,0.44816550,0.55589937,1.72661485,1.01907617,10.73494349,8.10907436,9.12806133,6.73028353,9.14110245,8.96616415,7.20649864,5.24872163,7.49197919,5.02015974,5.78923030,6.03322612,0.95932507,0.97097719,0.95875143,0.94371098,0.95732960,0.97879362,0.88447769,0.93140348,0.92844107,0.90771703,0.88869701,0.94112750,0.96293953,0.91003622,8.58055966,6.14813569,-0.55073896,-0.38940609
"1981M11",0.79015506,0.46107821,1.84533065,0.43933453,0.59258796,1.94619142,0.93425493,10.43920500,8.05291491,9.69003017,6.71851316,9.63411303,8.84764206,7.14181171,5.33855196,7.33053710,5.20023043,5.87735394,5.98678122,0.94694473,0.97436437,0.96293562,0.93332223,0.94704206,0.97109363,0.89628703,0.91421413,0.91661059,0.91212305,0.86206611,0.94993883,0.95619144,0.90999257,8.55676018,6.16486913,-0.55783645,-0.38724762
"1981M12",0.74613744,0.44191231,1.80622289,0.42921805,0.54832772,1.80103583,0.84920483,10.81284184,8.17103414,9.71660996,6.72140742,9.10286618,9.19528795,7.29857681,5.32914590,7.51914076,5.11172920,6.31340967,6.21032968,0.94314014,0.96702513,0.95945151,0.93354338,0.95211058,0.97220903,0.87638561,0.93091283,0.90940961,0.90849124,0.89710117,0.95373210,0.95441418,0.90670157,8.71951220,6.26407747,-0.54711803,-0.37980285
"1982M01",0.78816829,0.46556276,1.85445650,0.40773713,0.56368630,1.85185851,0.94781876,10.67723939,7.97123392,10.01531058,6.59722370,9.32853735,8.83926241,7.21373269,5.38463509,7.29190979,5.19489019,5.90336428,6.10252499,0.93805795,0.96849476,0.94614772,0.93881525,0.96392420,0.96656959,0.87815043,0.93161710,0.90705611,0.90078283,0.90866977,0.94295175,0.95557067,0.90407249,8.57198781,6.22305856,-0.56498242,-0.37972004
"1982M02",0.79675877,0.44989619,1.79890629,0.46904831,0.56239784,1.88275039,0.89518910,10.93049283,8.29060199,9.47465919,6.73088527,9.59013486,8.96938212,7.40249468,5.46548442,7.74561919,5.26751112,6.78405570,6.40913675,0.91458140,0.96575005,0.95281744,0.93662295,0.95838153,0.98071485,0.87395784,0.93161337,0.90867949,0.90254013,0.90999720,0.94647367,0.95189450,0.90417536,8.70125177,6.41093379,-0.54616556,-0.36542916
"1982M03",0.76961590,0.44798543,1.80104590,0.44190826,0.55143783,1.79229977,0.94008107,10.54547218,8.19959479,9.75593443,6.92464255,9.60180283,8.72083857,7.33806058,5.32095907,7.56363420,5.29301486,5.98387285,6.33656724,0.94245403,0.97066808,0.94282988,0.93247093,0.95261014,0.96012693,0.87120326,0.92812271,0.90536513,0.89922840,0.91154569,0.94275920,0.95228869,0.90084440,8.69741376,6.29975736,-0.54764510,-0.37291445
"1982M04",0.80214952,0.46247532,1.80433900,0.48114270,0.57907717,1.78844993,0.93717263,11.11227065,8.24139624,10.00800980,7.28417966,9.65622535,9.68790879,7.40786472,5.54916200,7.47765001,5.28671241,6.21851455,6.48890157,0.93250206,0.96878179,0.95144958,0.93409094,0.95462615,0.96802923,0.86429342,0.93722289,0.91119805,0.89032238,0.88644400,0.94710389,0.95397003,0.89821428,9.05025433,6.39001808,-0.51550321,-0.36454937
"1982M05",0.80173419,0.46423467,1.84489539,0.48296678,0.52007119,1.69345526,1.00733231,11.00154093,8.33160035,9.75933681,6.77915226,9.72182370,9.55412475,7.48854115,5.39608269,7.51373025,5.28268850,6.02900764,6.55651023,0.93045660,0.97148364,0.94187136,0.91237205,0.95061768,0.95858034,0.86372053,0.93766059,0.89723094,0.89337980,0.91626224,0.93848352,0.94514026,0.89773862,8.87041356,6.35825057,-0.53494204,-0.36643332
"1982M06",0.82048778,0.44001024,1.98837827,0.48185770,0.58000317,2.16986875,0.96108526,11.11246668,8.26082020,10.56067102,6.87826333,9.92772734,9.50662598,7.35079705,5.48841760,7.59825584,5.36291959,6.00275622,6.39730907,0.93060227,0.96545175,0.94854699,0.93293936,0.94943769,0.96280551,0.85584582,0.92132764,0.90013981,0.89732780,0.90253722,0.93297570,0.94921552,0.89454271,8.89122839,6.35360509,-0.53207680,-0.36357095
"1982M07",0.84650429,0.48871007,1.89480665,0.52417295,0.60136383,1.93794576,0.98971598,11.25296878,8.34499281,9.92457945,6.93150981,9.81840038,9.12891737,7.47157391,5.53799116,7.51357495,5.25484772,6.11841729,6.61256330,0.92899443,0.96395939,0.93984847,0.93208413,0.95174568,0.97234321,0.83895343,0.92379844,0.88716440,0.89330022,0.89197323,0.93682853,0.94930740,0.88614667,8.96809294,6.40516487,-0.52832742,-0.36260457
"1982M08",0.80767911,0.45166300,1.93078894,0.46366930,0.60305770,1.77843945,0.92494824,11.20255279,8.53852174,9.99793427,6.77178493,9.85960102,9.40642984,7.40148602,5.47940049,7.44603517,5.38230958,6.09761298,6.45651258,0.92990309,0.96505987,0.92634591,0.93222253,0.95349110,0.95214544,0.86648659,0.92163113,0.88985351,0.89232253,0.89893570,0.93531659,0.94578327,0.89128636,8.97338246,6.36767343,-0.52712391,-0.36542941
"1982M09",0.82851765,0.49166053,1.84154303,0.42835273,0.62930835,1.68628203,0.91289099,11.29800081,8.45356532,9.84101187,6.82350052,9.80059007,9.44555148,7.55362454,5.48621608,7.31935147,5.25957495,6.07350151,6.45194545,0.91337621,0.96371101,0.93880211,0.93112555,0.95704685,0.95853011,0.83031717,0.93264099,0.90458710,0.90676146,0.91576547,0.94273125,0.94552419,0.89052679,8.94348361,6.36542540,-0.53110242,-0.36651110
"1982M10",0.82043803,0.50035031,1.84711709,0.39537158,0.60778226,1.73116022,0.94007771,11.22917181,8.35953208,10.00143815,6.98906270,10.10531013,9.65963369,7.66024292,5.58488635,7.11244975,5.46740363,6.31377110,6.22959452,0.90887831,0.96289518,0.92441629,0.93546651,0.92920402,0.95729499,0.83325389,0.94080084,0.88096532,0.89419982,0.89895434,0.93703309,0.94190059,0.88685395,8.95981255,6.43848633,-0.52722408,-0.35245872
"1982M11",0.83346640,0.53999702,1.88490319,0.45043235,0.59519287,1.87371675,0.92584728,11.57656814,8.58730427,10.34177924,6.88789903,9.93686428,9.47694448,7.48892576,5.58149087,7.50843135,5.35729294,6.40120023,7.12382805,0.92190450,0.96312229,0.95283446,0.92671287,0.94638723,0.95631753,0.81662262,0.93165893,0.87033251,0.88669476,0.87813315,0.92965687,0.94429776,0.87522150,9.08591877,6.46816342,-0.51204804,-0.35821375
"1982M12",0.82469685,0.47983161,1.86704339,0.46922303,0.62110854,1.84908320,0.94657769,11.50297100,8.36878766,10.28879078,6.82551023,10.01089085,9.60338257,7.49978598,5.55397111,7.58986965,5.36969579,6.01796640,6.58687213,0.90563030,0.96362952,0.93124377,0.93784288,0.92513842,0.95942968,0.82660839,0.93112888,0.88529406,0.88293695,0.86933725,0.92954285,0.94171781,0.87805475,9.04292525,6.43612100,-0.51884710,-0.35585878
"1983M01",0.85838875,0.49681826,1.85629448,0.49203639,0.63793009,1.89085957,1.02190037,11.41099866,8.62876266,10.50658584,6.79145357,9.42523505,9.70853953,7.64571337,5.61123300,7.68083347,5.32432676,6.23230988,6.14638223,0.90829236,0.96123920,0.93182575,0.92284592,0.95299324,0.95795673,0.84154103,0.92274952,0.85164178,0.88123821,0.88480899,0.93073831,0.94157604,0.87746054,9.08382457,6.45724183,-0.51632882,-0.35598089
"1983M02",0.83980197,0.47388010,1.85782825,0.51399108,0.60896417,1.72557232,0.93587592,11.33750330,8.68539794,10.42013872,7.33980470,9.94015334,9.43731779,7.63819637,5.50359062,7.86182426,5.33036648,6.38975145,6.62609436,0.90956725,0.97124891,0.93078578,0.93032263,0.96619847,0.95673378,0.83832870,0.93244949,0.87644427,0.86564111,0.90202608,0.93858776,0.94758695,0.87865422,9.17104759,6.50817718,-0.50412649,-0.35210664
"1983M03",0.86523602,0.50819190,1.94125671,0.51965269,0.65568526,1.79901302,0.96960395,11.29425544,8.56627162,10.28442153,6.81470207,9.42547392,9.74734073,7.78686013,5.70033749,7.70286046,5.27983864,5.97252623,6.55240960,0.92022332,0.95977292,0.93142216,0.92304782,0.94739313,0.96622940,0.84756501,0.91780962,0.89246099,0.88367156,0.88125730,0.93893496,0.94201605,0.88494459,9.10380208,6.52035923,-0.51257177,-0.35188045
"1983M04",0.86016100,0.50855847,1.85144650,0.50903813,0.62332853,1.83194104,0.98793107,11.28965004,8.69997347,10.74471451,6.87328998,9.24483248,9.65653631,7.51890118,5.57520445,7.83256444,5.39126974,6.49239232,6.62480643,0.90191216,0.96897381,0.93063311,0.92424046,0.95254604,0.96473554,0.85020042,0.91611772,0.87940343,0.88823416,0.90258004,0.93698341,0.94398410,0.88651423,9.16915817,6.47880782,-0.51413724,-0.35169883
"1983M05",0.90044902,0.51694040,1.94296850,0.53742281,0.64987155,1.83570121,1.02486394,11.47378864,8.76189352,11.00058453,6.95154679,9.51565292,9.80650192,7.62810400,5.71491027,7.87632994,5.45332013,6.29955376,6.76104142,0.92302779,0.95891901,0.93687258,0.94089263,0.95477548,0.96143748,0.85568956,0.92144014,0.87642713,0.89180296,0.89458636,0.93440562,0.94629340,0.88910141,9.19164396,6.56903744,-0.50761014,-0.34149845
"1983M06",0.84831639,0.50687507,1.89672352,0.52445905,0.60851046,1.86728342,0.95550250,11.33998063,8.74459229,10.91280163,6.88500319,10.90746958,9.74831571,7.70621107,5.75085752,7.81553411,5.57271493,6.32110151,6.64350500,0.93803417,0.95517416,0.94283068,0.93071925,0.95280884,0.96334734,0.86499790,0.90414921,0.89276809,0.89453067,0.87744958,0.92728685,0.94666006,0.89279770,9.27706306,6.61189339,-0.50411570,-0.34307524
"1983M07",0.85559794,0.50665320,1.91319160,0.51962702,0.60733520,1.67158031,0.97422657,11.46466664,8.71976593,10.58473719,7.13851063,10.21599185,9.19952029,7.58171448,5.66399805,8.01137884,5.46493831,6.22176553,6.81322737,0.92383294,0.96974040,0.94447900,0.92663479,0.95388429,0.95855828,0.87518289,0.93144575,0.89280607,0.88998445,0.90238103,0.93882042,0.94744206,0.89857440,9.27466337,6.59111192,-0.49893707,-0.33907049
"1983M08",0.84844792,0.52212147,1.77136635,0.53782451,0.62495766,1.76327404,0.98308621,11.40517099,9.08167691,9.96568626,7.00780390,9.30835706,10.01977155,7.68177415,5.69703459,7.99412922,5.48756540,6.18604817,6.65217370,0.93109984,0.96739619,0.93299909,0.93784883,0.95367739,0.96242495,0.87370445,0.93900543,0.90008097,0.89346716,0.86806149,0.94549900,0.94954985,0.89749997,9.28480475,6.58019436,-0.49908844,-0.33445538
